Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: tCO2 per USD 1000
,China,United States,European Union,India,Japan,World
1980,1.84,0.60,0.33,0.30,0.33,0.45
1981,1.74,0.58,0.31,0.31,0.30,0.44
1982,1.67,0.56,0.30,0.31,0.29,0.43
1983,1.59,0.53,0.30,0.31,0.28,0.42
1984,1.51,0.52,0.29,0.33,0.29,0.42
1985,1.35,0.50,0.29,0.33,0.26,0.41
1986,1.31,0.48,0.28,0.34,0.26,0.41
1987,1.25,0.48,0.28,0.36,0.25,0.41
1988,1.21,0.48,0.27,0.34,0.25,0.40
1989,1.20,0.47,0.26,0.35,0.24,0.40
1990,1.22,0.46,0.28,0.36,0.26,0.40
1991,1.20,0.45,0.28,0.39,0.26,0.39
1992,1.11,0.45,0.26,0.38,0.25,0.39
1993,1.07,0.44,0.26,0.38,0.25,0.38
1994,0.99,0.43,0.25,0.38,0.26,0.37
1995,1.00,0.43,0.25,0.38,0.26,0.37
1996,0.90,0.42,0.25,0.37,0.26,0.37
1997,0.84,0.43,0.24,0.37,0.25,0.36
1998,0.82,0.41,0.23,0.36,0.24,0.35
1999,0.74,0.39,0.22,0.36,0.25,0.35
2000,0.72,0.39,0.22,0.36,0.25,0.34
2001,0.70,0.38,0.22,0.35,0.25,0.34
2002,0.70,0.37,0.21,0.35,0.25,0.33
2003,0.74,0.36,0.22,0.33,0.25,0.34
2004,0.78,0.35,0.21,0.33,0.24,0.34
2005,0.79,0.34,0.21,0.31,0.24,0.33
2006,0.78,0.33,0.20,0.31,0.23,0.33
2007,0.74,0.33,0.19,0.31,0.24,0.32
2008,0.70,0.32,0.18,0.32,0.23,0.32
2009,0.69,0.30,0.18,0.32,0.23,0.32
2010,0.68,0.31,0.18,0.31,0.23,0.32
2011,0.68,0.29,0.17,0.31,0.24,0.32
2012,0.65,0.27,0.17,0.32,0.25,0.31
2013,0.64,0.27,0.16,0.30,0.24,0.31
2014,0.59,0.27,0.15,0.31,0.23,0.30
2015,0.55,0.25,0.15,0.29,0.22,0.29
2016,0.52,0.24,0.15,0.27,0.22,0.28
2017,0.49,0.24,0.15,0.27,0.21,0.27
2018,0.48,0.24,0.14,0.26,0.20,0.27
2019,0.46,0.22,0.13,0.25,0.20,0.26
2020,0.46,0.21,0.13,0.26,0.20,0.26
2021,0.45,0.21,0.13,0.25,0.20,0.26
